from_id,from_login,from_name,to_id,to_login,to_name,followed_at,closure,follow_total,triad_set,k-connected,total-connected
94398989,thetaitertot,thetaitertot,24687283,jorbs,jorbs,2021-02-09T00:35:10Z,1,131,"['dogdog', 'Savjz', 'bmkibler', 'Quin69', 'TidesofTime', 'AdmiralBahroo', 'DansGaming', 'dakotaz', 'JessicaMunchdown', 'jrm1ah', 'vegetablebread', 'TerrenceMHS']","['Aphromoo', 'keanelol', 'AdmiralBahroo', 'TaliaMar', 'superjj102', 'Becca', 'Scarra', 'Quin69', 'dogdog', 'DeliciousMilkGG', 'JessicaMunchdown', 'Doublelift', 'Dyrus', 'imaqtpie', 'Pobelter', 'Trainwreckstv', 'LCS', 'dakotaz', 'Riot Games', 'bmkibler', 'GMHikaru', 'TidesofTime']",22
32472677,stefek132,stefek132,24687283,jorbs,jorbs,2021-02-09T00:32:12Z,1,52,"['itsHafu', 'DiaTech', 'bmkibler', 'Alliestrasza', 'dogdog']","['itsHafu', 'Becca', 'dogdog', 'Amaz', 'bmkibler', 'Alliestrasza', 'pokimane', 'Riot Games', 'LCS', 'Scarra']",10
55777968,katudis,Katudis,24687283,jorbs,jorbs,2021-02-09T00:31:07Z,1,113,"['DansGaming', 'itsHafu', 'AdmiralBahroo', '5uppp', 'Nomakk']","['itsHafu', 'AdmiralBahroo', 'Trainwreckstv', 'imaqtpie', '5uppp']",5
250601672,villainmaterial,VillainMaterial,24687283,jorbs,jorbs,2021-02-09T00:16:22Z,0,4,[],[],0
102044245,toiryelhsa,Toiryelhsa,24687283,jorbs,jorbs,2021-02-08T21:51:38Z,1,5,['jrm1ah'],[],0
57177505,shaunzors,Shaunzors,24687283,jorbs,jorbs,2021-02-08T21:50:51Z,1,65,"['RafLP', 'ster']","['Dyrus', 'Riot Games', 'imaqtpie']",3
114409219,pieter_panda,Pieter_Panda,24687283,jorbs,jorbs,2021-02-08T21:45:33Z,1,73,"['FilthyRobot', 'aliensrock', 'AnnaMae']","['Florryworry', 'Chess', 'GMHikaru', 'pokimane', 'AustinShow', 'FilthyRobot']",6
52684988,oji4life,oji4life,24687283,jorbs,jorbs,2021-02-08T21:14:55Z,0,10,[],"['Riot Games', 'imaqtpie']",2
23997673,thetinychaos,TheTinychaos,24687283,jorbs,jorbs,2021-02-08T20:02:59Z,1,70,"['Quin69', 'AdmiralBahroo']","['Quin69', 'nl_Kripp', 'Amaz', 'AdmiralBahroo', 'pokimane', 'Becca', 'Scarra']",7
26620907,yookishaz,yookishaz,24687283,jorbs,jorbs,2021-02-08T19:58:40Z,1,125,"['Lethalfrag', 'LSV', 'bmkibler', 'GabySpartz', 'Khaljiit', 'Savjz', 'dogdog', 'Naturesbf', 'itsHafu', 'hunterpence']","['itsHafu', 'sjokz', 'dogdog', 'Lethalfrag', 'Naturesbf', 'nl_Kripp', 'keanelol', 'Magic', 'AOC', 'GabySpartz', 'imaqtpie', 'GMHikaru', 'Trainwreckstv', 'LSV', 'bmkibler', 'AustinShow', 'Scarra']",17
148826458,nofisjolo,nofisjolo,24687283,jorbs,jorbs,2021-02-08T19:33:21Z,1,17,['ster'],[],0
28547062,majorhazed,majorhazed,24687283,jorbs,jorbs,2021-02-08T19:33:17Z,1,104,"['dogdog', 'Kronovi', 'DansGaming', 'Quin69', 'Savjz', 'AdmiralBahroo', 'fuslie', 'haelian']","['Quin69', 'dogdog', 'nl_Kripp', 'AdmiralBahroo', 'Chess', 'fuslie', 'GMHikaru', 'Riot Games', 'RaizQT']",9
113609765,saiji75,saiji75,24687283,jorbs,jorbs,2021-02-08T19:12:14Z,0,18,[],[],0
31020612,leflings,leflings,24687283,jorbs,jorbs,2021-02-08T18:42:51Z,1,26,"['FilthyRobot', 'Panztastic']",['FilthyRobot'],1
226483779,voyty,Voyty,24687283,jorbs,jorbs,2021-02-08T16:44:16Z,1,6,"['Tijoe', 'WarlockTD']",[],0
